amount1,amount2,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,thisRow.t,notes,piloting,instructions.started,instr_txt.started,key_resp_start.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,trial.started,question.started,button_1.started,button_2.started,key_resp.started,trial.stopped,trials_1.key_resp.keys,trials_1.key_resp.rt,trials_1.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,trials_3.key_resp.keys,trials_3.key_resp.rt,trials_3.key_resp.duration,bye.started,bye_txt.started,bye_txt.stopped,bye.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,True,0.024234417360275984,0.03291995916515589,0.03291995916515589,10.97407262539491,space,10.92225645808503,None,,,,,,,,,,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £5 now,Receive £8 in 2 days time,0,0,0,left,8.642008292023093,None,0,0,0,2,,,,,,,,,10.999521459452808,,,,,,,,,,10.98798229219392,11.165918542072177,11.165918542072177,11.165918542072177,11.165918542072177,19.808889042120427,left,8.642008292023093,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £1 now,Receive £7 in 7 days time,1,1,0,right,6.663606709334999,None,0,1,1,3,,,,,,,,,19.857891250401735,,,,,,,,,,19.81575620919466,20.007573375012726,20.007573375012726,20.007573375012726,20.007573375012726,26.691331709269434,right,6.663606709334999,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £5 in 80 days time,Receive £4 now,2,2,0,right,4.380187791772187,None,0,2,2,5,,,,,,,,,26.717092500068247,,,,,,,,,,26.706161875277758,26.882800250314176,26.882800250314176,26.882800250314176,26.882800250314176,31.267481666989625,right,4.380187791772187,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £10 in 14 days time,Receive £7 now,3,3,0,right,3.479991791769862,None,0,3,3,7,,,,,,,,,31.274242625106126,,,,,,,,,,31.26845912542194,31.465910834260285,31.465910834260285,31.465910834260285,31.465910834260285,34.95179500011727,right,3.479991791769862,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £10 now,Receive £10 in 10 days time,4,4,0,left,5.598403333686292,None,0,4,4,0,,,,,,,,,34.95754545927048,,,,,,,,,,34.9528322503902,35.14919566735625,35.14919566735625,35.14919566735625,35.14919566735625,40.75075129233301,left,5.598403333686292,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £8 now,Receive £10 in 30 days time,5,5,0,left,4.384325374849141,None,0,5,5,1,,,,,,,,,40.75793370930478,,,,,,,,,,40.754945875145495,40.949256209190935,40.949256209190935,40.949256209190935,40.949256209190935,45.34241841733456,left,4.384325374849141,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £9 in 30 days time,Receive £2 now,6,6,0,right,6.4705232498236,None,0,6,6,6,,,,,,,,,45.349199125077575,,,,,,,,,,45.346411084290594,45.541211917065084,45.541211917065084,45.541211917065084,45.541211917065084,52.01748579228297,right,6.4705232498236,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £10 in 5 days time,Receive £9 now,7,7,0,right,2.417378874961287,None,0,7,7,9,,,,,,,,,52.024485542438924,,,,,,,,,,52.018462375272065,52.21585354208946,52.21585354208946,52.21585354208946,52.21585354208946,54.63407429214567,right,2.417378874961287,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
Receive £1 now,Receive £10 in 100 days time,8,8,0,left,2.166608375031501,None,0,8,8,4,,,,,,,,,54.64116170909256,,,,,,,,,,54.63504650024697,54.83256470924243,54.83256470924243,54.83256470924243,54.83256470924243,57.000713292043656,left,2.166608375031501,None,,,,,,,,,,,2035764,001,2026-05-09_13h55.24.242,delay_discount,,2026.1.3,119.83762026689624,2026-05-09 13h55.24.365135 +0300,
