instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0.0002,9.098,space,9.0905,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,9.115,13.3312,left,3.9825,,0,0,0,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,13.3317,15.6144,left,2.0602,,0,1,1,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,15.6148,17.7811,left,1.9378,,0,2,2,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,17.7816,20.8476,right,2.8432,,0,3,3,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,20.8481,25.0642,right,3.9932,,0,4,4,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,25.0647,27.364,right,2.0688,,0,5,5,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,27.3646,29.881,right,2.2937,,0,6,6,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,29.8814,31.6976,left,1.5828,,0,7,7,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,31.698,35.6645,left,3.7321,,0,8,8,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,35.665,38.031,right,2.1378,,0,9,9,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,38.0382,42.4479,left,4.1945,,,,,,,"Receive £100,000 in 5 days time","Receive £20,000 now",0,0,0,9,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,42.4484,46.1143,right,3.4339,,,,,,,"Receive £100,000 now","Receive £7,000,000 in 1 year time",0,1,1,3,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,46.1146,50.3473,left,3.9996,,,,,,,"Receive £8,000 in 30 days time","Receive £3,000 now",0,2,2,6,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,50.3478,54.2977,left,3.718,,,,,,,"Receive £500,000 in 80 days time","Receive £4,000 now",0,3,3,5,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,54.298,58.2975,left,3.777,,,,,,,"Receive £1,000 in 14 days time",Receive £700 now,0,4,4,7,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,58.2979,62.3475,left,3.827,,,,,,,"Receive £30,000 in 90 days time","Receive £20,000 now",0,5,5,8,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,62.3479,70.8309,right,8.2494,,,,,,,"Receive £6,000 now","Receive £20,000 in 100 days time",0,6,6,4,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,70.8312,73.0474,right,1.9831,,,,,,,"Receive £80,000 now","Receive £200,000 in 30 days time",0,7,7,1,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,73.0478,75.6977,right,2.4161,,,,,,,"Receive £10,000 now","Receive £100,000 in 10 days time",0,8,8,0,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,75.6981,78.3976,left,2.4662,,,,,,,"Receive £5,000 now",Receive £800 in 2 days time,0,9,9,2,1,,,,,,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,78.4049,81.3477,left,2.7161,,,,,,,Receive £1 now,Receive £7 in 7 days time,,,,,,0,0,0,3,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,81.3483,85.9977,left,4.4163,,,,,,,Receive £1 now,Receive £10 in 100 days time,,,,,,0,1,1,4,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,85.9981,94.5477,right,8.3162,,,,,,,Receive £10 in 5 days time,Receive £9 now,,,,,,0,2,2,9,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,94.5481,96.2975,right,1.5153,,,,,,,Receive £10 in 14 days time,Receive £7 now,,,,,,0,3,3,7,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,96.298,97.7974,left,1.2761,,,,,,,Receive £8 now,Receive £10 in 30 days time,,,,,,0,4,4,1,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,97.7977,99.2473,right,1.2266,,,,,,,Receive £5 in 80 days time,Receive £4 now,,,,,,0,5,5,5,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,99.2477,101.6808,right,2.2015,,,,,,,Receive £5 now,Receive £8 in 2 days time,,,,,,0,6,6,2,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,101.6812,104.0475,right,2.144,,,,,,,Receive £3 in 90 days time,Receive £5 now,,,,,,0,7,7,8,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,104.0478,105.7308,left,1.4606,,,,,,,Receive £10 now,Receive £10 in 10 days time,,,,,,0,8,8,0,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,105.7313,108.0307,right,2.0765,,,,,,,Receive £9 in 30 days time,Receive £2 now,,,,,,0,9,9,6,1,,
,,,,,594995,001,2026-05-13_01h36.08.798,delay_discount,2026.1.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,108.0309,111.0306
