instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0,94.689,space,94.663,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,94.698,99.655,right,4.723,,0,0,0,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,99.656,104.188,left,4.299,,0,1,1,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,104.188,112.405,left,7.989,,0,2,2,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,112.405,118.638,right,5.999,,0,3,3,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,118.638,124.822,right,5.971,,0,4,4,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,124.822,140.255,left,15.2,,0,5,5,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,140.255,144.771,right,4.284,,0,6,6,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,144.772,154.304,right,9.299,,0,7,7,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,154.305,158.188,left,3.65,,0,8,8,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,158.188,161.621,right,3.204,,0,9,9,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,161.625,166.105,left,4.251,,,,,,,"Receive £1,000 in 14 days time",Receive £700 now,0,0,0,7,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,166.105,172.488,right,6.151,,,,,,,"Receive £80,000 now","Receive £200,000 in 30 days time",0,1,1,1,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,172.488,175.67,left,2.956,,,,,,,"Receive £100,000 now","Receive £7,000,000 in 1 year time",0,2,2,3,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,175.671,180.721,left,4.817,,,,,,,"Receive £5,000 now",Receive £800 in 2 days time,0,3,3,2,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,180.722,183.854,left,2.906,,,,,,,"Receive £8,000 in 30 days time","Receive £3,000 now",0,4,4,6,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,183.855,190.021,left,5.937,,,,,,,"Receive £500,000 in 80 days time","Receive £4,000 now",0,5,5,5,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,190.021,194.504,left,4.249,,,,,,,"Receive £6,000 now","Receive £20,000 in 100 days time",0,6,6,4,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,194.504,200.671,left,5.934,,,,,,,"Receive £100,000 in 5 days time","Receive £20,000 now",0,7,7,9,1,,,,,,,
,,,,,223948,001,2026-05-12_19h24.13.235,delay_discount,2026.1.3,MacIntel,58.82352941,200.671,210.654,right,9.75,,,,,,,"Receive £10,000 now","Receive £100,000 in 10 days time",0,8,8,0,1,,,,,,,
