instructions.started,instructions.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_1.ran,amount1,amount2,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,bye.started,bye.stopped
0.0002,13.3984,space,13.3809,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,13.4099,16.7123,left,3.0695,,0,0,0,6,1,Receive £9 in 30 days time,Receive £2 now,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,16.7128,20.8478,left,3.9171,,0,1,1,0,1,Receive £10 now,Receive £10 in 10 days time,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,20.8483,23.7316,right,2.6507,,0,2,2,8,1,Receive £3 in 90 days time,Receive £5 now,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,23.7324,26.9783,right,3.0099,,0,3,3,5,1,Receive £5 in 80 days time,Receive £4 now,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,26.9794,29.4989,right,2.2843,,0,4,4,3,1,Receive £1 now,Receive £7 in 7 days time,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,29.4997,32.6318,right,2.9013,,0,5,5,7,1,Receive £10 in 14 days time,Receive £7 now,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,32.6323,36.0945,right,3.2184,,0,6,6,2,1,Receive £5 now,Receive £8 in 2 days time,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,36.0954,38.5439,left,2.2052,,0,7,7,4,1,Receive £1 now,Receive £10 in 100 days time,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,38.5443,42.2442,right,3.4759,,0,8,8,9,1,Receive £10 in 5 days time,Receive £9 now,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,42.2449,45.2479,left,2.7834,,0,9,9,1,1,Receive £8 now,Receive £10 in 30 days time,,,,,,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,45.2545,47.3972,right,1.917,,,,,,,"Receive £10,000 now","Receive £100,000 in 10 days time",0,0,0,0,1,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,47.3984,50.1302,left,2.5001,,,,,,,"Receive £30,000 in 90 days time","Receive £20,000 now",0,1,1,8,1,,,,,,,
,,,,,2791473,001,2026-05-10_14h28.30.364,delay_discount,2026.1.3,Win32,59.17159763,50.1305,52.0774,right,1.7027,,,,,,,"Receive £100,000 now","Receive £7,000,000 in 1 year time",0,2,2,3,1,,,,,,,
